0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:52:12 +0900] "GET /AA/goods/goodsListByCategory.do?goods_main_category=%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4 HTTP/1.1" 200 30786
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:12 +0900] "GET /AA/main/main.do HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/goods/goodsListByCategory.do HTTP/1.1" 200 39722
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=29&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=26&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=39&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=34&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=16&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=11&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=10&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=33&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=21&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=28&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=20&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=38&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=15&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=27&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=43&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=32&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/resources/imgs/vline_grey.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=9&fileName=main1.jpg HTTP/1.1" 200 20973
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=5&fileName=main1.jpg HTTP/1.1" 200 23417
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=3&fileName=main1.jpg HTTP/1.1" 200 45079
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:13 +0900] "GET /AA/thumbnails.do?goods_num=4&fileName=main1.jpg HTTP/1.1" 200 24795
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/goods/goodsListByCategory.do?null&offset=20 HTTP/1.1" 200 39699
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=21&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=10&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=28&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=33&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=15&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=38&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=20&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=43&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=27&fileName=main1.jpg HTTP/1.1" 200 8192
